t_1,t_2
13.1868399924,72.3483336835
5.82977332528,42.1382687731
29.9666682399,222.683483421
47.0713606698,51.2488227911
30.7703322607,57.0214738521
16.4515953371,21.2735965508
65.0046287984,82.7202968004
59.8021987881,63.4335802333
27.8548623429,55.1821904553
57.6805676704,NA
52.0042975478,61.8561100865
11.2977211376,99.3631566688
0.581179145901,53.437691967
5.77428508619,59.3149882061
26.5181233597,51.8263033269
15.241176757,28.3438003459
6.77009857057,36.678765661
18.2203591028,36.9656726128
12.4395800368,23.2028236755
42.4661240042,71.864795067
110.406004864,NA
65.8200137214,66.0119838621
27.455179374,62.4843146164
68.200451099,78.7255425657
32.1102383573,82.7166128889
51.1494061846,64.2369227686
5.19763569733,42.2944394399
37.586766401,45.2348791445
50.3582448955,52.0812329663
34.412392835,35.7208464506
77.2171014184,81.4350264562
1.67030326001,44.4024182287
3.50341981429,26.3150753834
23.633167655,40.2996032245
34.1183578771,87.4518298568
16.6265978378,60.2015877934
9.02077383812,10.4316660538
8.102818192,114.135443681
33.7611535706,55.7731744647
26.5870657121,50.286203817
263.50646681,NA
7.56084022753,8.25489256593
47.9226880749,68.4713500784
62.5030558029,407.885688386
4.79024349021,9.41809785761
29.7610119303,34.8515594174
32.3408300687,141.12756511
44.3062521015,49.2823091174
30.5840327015,68.1667028769
15.470173621,31.055989137
10.7136433206,55.1571904413
4.13657440337,79.573841688
50.2309493786,59.5418221843
3.76414177697,44.9972812803
11.579080597,27.838958472
80.8047883747,127.741745486
67.4154504461,89.8943614556
40.9555993288,74.3780107925
12.2625966869,NA
44.4519818053,74.2449139222
21.3732436624,26.9510422539
30.7185850455,34.7994037068
80.9318123479,94.3665771895
30.6434588061,49.3847700553
54.5922572423,54.9013586954
41.2583152694,75.7700818579
143.758719958,152.012140624
40.5725521507,59.1612815166
10.8369364813,82.077235261
270.609730304,NA
3.86873944015,27.5267513877
77.872501408,84.8180529465
21.8123107698,86.0641649866
63.6859326559,362.060218311
12.3491536955,84.5993819902
13.0555795196,13.8625740511
36.6909912379,82.467563573
26.5388751054,34.3121042119
62.1148650616,NA
99.653142072,110.488526863
31.6512099862,61.3973233143
12.5408260343,34.8352217096
11.4099213238,25.6238938245
50.7602553877,68.8241018047
24.8646688598,41.3382511312
14.2491184888,43.06500733
93.9738031649,120.446496211
38.569028712,55.8184328307
28.8746685466,97.0423682295
41.3743197365,52.0792319982
100.550058275,141.510475283
41.9460177663,NA
20.1282084531,21.3963893095
49.171313404,50.5026753148
24.6353718738,46.3305583603
150.044308175,187.72336512
28.961453718,48.9276245952
3.48116665424,40.3279694198
69.5379497308,89.3576482686
2.26291440361,27.9069971545
8.96721980286,13.0304815092
2.87095808596,10.5046955839
63.601784445,66.413931319
7.88954864904,267.895431231
96.3968986058,115.06684601
30.7787030191,41.8224861256
12.327558666,45.1920471943
143.585078404,NA
44.0036534069,161.742478466
32.079773703,77.4779893771
10.2172223853,54.3136321572
29.6211380975,87.290700065
8.56361679272,126.392109881
39.1207461805,NA
6.9878381578,62.6160301542
46.4862816599,46.7453278662
3.27157082721,27.1615513559
15.7372556784,69.1038160022
5.04459846911,18.2820517758
29.1569218925,38.4824253462
26.9921865241,39.6470028212
39.1341391786,NA
36.7942971524,103.570703561
54.7632243972,68.4864493662
35.7309744241,36.0851943335
18.8453875419,49.6286969063
3.52656276871,22.8563222375
33.6387334587,NA
11.1527304955,50.8972166739
164.646265092,168.92946776
21.623785362,75.2829647776
8.24107022003,11.9404344138
2.08912096172,8.31533136383
25.1071382075,NA
17.2505355792,34.9646915602
31.9995056727,51.8578898611
44.3777011149,168.101483386
42.0071715485,56.9959424512
1.58184961338,20.026460441
7.13676297344,48.4064126944
38.1978902812,101.384496316
82.7925216428,94.7207812678
20.2556429729,50.9377470342
38.8241458725,89.5499578488
16.6702653114,NA
92.1836494709,165.54401399
95.4238007062,145.592085392
28.6991093504,37.974547577
4.12126013089,21.2197007497
108.466908759,110.056299316
30.1065681839,39.844931315
61.5222295756,96.9429609028
29.0175077402,53.4698823863
73.2725771092,78.5699584334
0.274160127855,11.6135318306
70.6009890337,121.808623023
53.0236711946,60.9590330505
25.1319767999,53.219066215
41.6302245968,99.242104937
29.3447815781,83.7111320839
49.0528982045,90.1396437396
27.5692576824,44.6533344523
45.8536481467,87.3989964715
75.005449396,NA
12.6965822106,64.4030576341
1.1877679913,46.8811816472
57.5867703619,81.458167752
3.37515938877,207.874423968
19.9897047294,48.484253036
30.1678363866,91.5785940971
50.3419788016,61.3304572966
31.2267945337,37.200456793
87.520739347,NA
25.9860100309,45.8852685113
4.14904997728,6.43231508392
7.91815635215,97.181239879
4.43270004178,51.6064432217
160.961620868,172.581228649
53.147208782,72.1412848248
16.1110920606,25.4740462949
7.45520527163,29.7217560678
35.4009061522,48.5229052483
67.128662772,89.8015967223
13.0172197691,37.3146005538
14.0447395089,49.0881945635
70.3482289889,70.4838226665
61.0275927157,200.144403043
